region_type,region_name,city_name,city_ascii,rank_by_population_in_region,is_capital
US-STATE,Missouri,Springfield,Springfield,3.0,False
US-STATE,Missouri,Columbia,Columbia,4.0,False
US-STATE,Missouri,Independence,Independence,5.0,False
US-STATE,Missouri,Jefferson City,Jefferson City,,True
US-STATE,Montana,Billings,Billings,1.0,False
US-STATE,Montana,Missoula,Missoula,2.0,False
US-STATE,Montana,Great Falls,Great Falls,3.0,False
US-STATE,Montana,Bozeman,Bozeman,4.0,False
US-STATE,Montana,Butte,Butte,5.0,False
US-STATE,Montana,Helena,Helena,,True
US-STATE,Nebraska,Omaha,Omaha,1.0,False
US-STATE,Nebraska,Lincoln,Lincoln,2.0,True
US-STATE,Nebraska,Bellevue,Bellevue,3.0,False
US-STATE,Nebraska,Grand Island,Grand Island,4.0,False
US-STATE,Nebraska,Kearney,Kearney,5.0,False
US-STATE,Nevada,Las Vegas,Las Vegas,1.0,False
US-STATE,Nevada,Henderson,Henderson,2.0,False
US-STATE,Nevada,Reno,Reno,3.0,False
US-STATE,Nevada,North Las Vegas,North Las Vegas,4.0,False
US-STATE,Nevada,Sparks,Sparks,5.0,False
US-STATE,Nevada,Carson City,Carson City,,True
US-STATE,New Hampshire,Manchester,Manchester,1.0,False
US-STATE,New Hampshire,Nashua,Nashua,2.0,False
US-STATE,New Hampshire,Concord,Concord,3.0,True
US-STATE,New Hampshire,Dover,Dover,4.0,False
US-STATE,New Hampshire,Rochester,Rochester,5.0,False
US-STATE,New Jersey,Newark,Newark,1.0,False
US-STATE,New Jersey,Jersey City,Jersey City,2.0,False
US-STATE,New Jersey,Paterson,Paterson,3.0,False
US-STATE,New Jersey,Elizabeth,Elizabeth,4.0,False
US-STATE,New Jersey,Toms River,Toms River,5.0,False
US-STATE,New Jersey,Trenton,Trenton,,True
US-STATE,New Mexico,Albuquerque,Albuquerque,1.0,False
US-STATE,New Mexico,Las Cruces,Las Cruces,2.0,False
US-STATE,New Mexico,Rio Rancho,Rio Rancho,3.0,False
US-STATE,New Mexico,Santa Fe,Santa Fe,4.0,True
US-STATE,New Mexico,Roswell,Roswell,5.0,False
US-STATE,New York,New York,New York,1.0,False
US-STATE,New York,Buffalo,Buffalo,2.0,False
US-STATE,New York,Yonkers,Yonkers,3.0,False
US-STATE,New York,Rochester,Rochester,4.0,False
US-STATE,New York,Syracuse,Syracuse,5.0,False
US-STATE,New York,Albany,Albany,,True
US-STATE,North Carolina,Charlotte,Charlotte,1.0,False
US-STATE,North Carolina,Raleigh,Raleigh,2.0,True
US-STATE,North Carolina,Greensboro,Greensboro,3.0,False
US-STATE,North Carolina,Durham,Durham,4.0,False
US-STATE,North Carolina,Winston-Salem,Winston-Salem,5.0,False
US-STATE,North Dakota,Fargo,Fargo,1.0,False
US-STATE,North Dakota,Bismarck,Bismarck,2.0,True
US-STATE,North Dakota,Grand Forks,Grand Forks,3.0,False
US-STATE,North Dakota,Minot,Minot,4.0,False
US-STATE,North Dakota,West Fargo,West Fargo,5.0,False
US-STATE,Ohio,Columbus,Columbus,1.0,True
US-STATE,Ohio,Cleveland,Cleveland,2.0,False
US-STATE,Ohio,Cincinnati,Cincinnati,3.0,False
US-STATE,Ohio,Toledo,Toledo,4.0,False
US-STATE,Ohio,Akron,Akron,5.0,False
US-STATE,Oklahoma,Oklahoma City,Oklahoma City,1.0,True
US-STATE,Oklahoma,Tulsa,Tulsa,2.0,False
US-STATE,Oklahoma,Norman,Norman,3.0,False
US-STATE,Oklahoma,Broken Arrow,Broken Arrow,4.0,False
US-STATE,Oklahoma,Edmond,Edmond,5.0,False
US-STATE,Oregon,Portland,Portland,1.0,False
US-STATE,Oregon,Eugene,Eugene,2.0,False
US-STATE,Oregon,Salem,Salem,3.0,True
US-STATE,Oregon,Gresham,Gresham,4.0,False
US-STATE,Oregon,Hillsboro,Hillsboro,5.0,False
US-STATE,Pennsylvania,Philadelphia,Philadelphia,1.0,False
US-STATE,Pennsylvania,Pittsburgh,Pittsburgh,2.0,False
US-STATE,Pennsylvania,Allentown,Allentown,3.0,False
US-STATE,Pennsylvania,Reading,Reading,4.0,False
US-STATE,Pennsylvania,Erie,Erie,5.0,False
US-STATE,Pennsylvania,Harrisburg,Harrisburg,,True
US-STATE,Rhode Island,Providence,Providence,1.0,True
US-STATE,Rhode Island,Warwick,Warwick,2.0,False
US-STATE,Rhode Island,Cranston,Cranston,3.0,False
US-STATE,Rhode Island,Pawtucket,Pawtucket,4.0,False
US-STATE,Rhode Island,East Providence,East Providence,5.0,False
US-STATE,South Carolina,Charleston,Charleston,1.0,False
US-STATE,South Carolina,Columbia,Columbia,2.0,True
US-STATE,South Carolina,North Charleston,North Charleston,3.0,False
US-STATE,South Carolina,Mount Pleasant,Mount Pleasant,4.0,False
US-STATE,South Carolina,Rock Hill,Rock Hill,5.0,False
US-STATE,South Dakota,Sioux Falls,Sioux Falls,1.0,False
US-STATE,South Dakota,Rapid City,Rapid City,2.0,False
US-STATE,South Dakota,Aberdeen,Aberdeen,3.0,False
US-STATE,South Dakota,Brookings,Brookings,4.0,False
US-STATE,South Dakota,Watertown,Watertown,5.0,False
US-STATE,South Dakota,Pierre,Pierre,,True
US-STATE,Tennessee,Nashville,Nashville,1.0,True
US-STATE,Tennessee,Memphis,Memphis,2.0,False
US-STATE,Tennessee,Knoxville,Knoxville,3.0,False
US-STATE,Tennessee,Chattanooga,Chattanooga,4.0,False
US-STATE,Tennessee,Clarksville,Clarksville,5.0,False
US-STATE,Texas,Houston,Houston,1.0,False
US-STATE,Texas,San Antonio,San Antonio,2.0,False
US-STATE,Texas,Dallas,Dallas,3.0,False
US-STATE,Texas,Austin,Austin,4.0,True
US-STATE,Texas,Fort Worth,Fort Worth,5.0,False
US-STATE,Utah,Salt Lake City,Salt Lake City,1.0,True
US-STATE,Utah,West Valley City,West Valley City,2.0,False
US-STATE,Utah,West Jordan,West Jordan,3.0,False
US-STATE,Utah,Provo,Provo,4.0,False
US-STATE,Utah,Orem,Orem,5.0,False
US-STATE,Vermont,Burlington,Burlington,1.0,False
US-STATE,Vermont,South Burlington,South Burlington,2.0,False
US-STATE,Vermont,Rutland,Rutland,3.0,False
US-STATE,Vermont,Essex Junction,Essex Junction,4.0,False
US-STATE,Vermont,Barre,Barre,5.0,False
US-STATE,Vermont,Montpelier,Montpelier,,True
US-STATE,Virginia,Virginia Beach,Virginia Beach,1.0,False
US-STATE,Virginia,Chesapeake,Chesapeake,2.0,False
US-STATE,Virginia,Norfolk,Norfolk,3.0,False
US-STATE,Virginia,Richmond,Richmond,4.0,True
US-STATE,Virginia,Newport News,Newport News,5.0,False
US-STATE,Washington,Seattle,Seattle,1.0,False
US-STATE,Washington,Spokane,Spokane,2.0,False
US-STATE,Washington,Tacoma,Tacoma,3.0,False
US-STATE,Washington,Vancouver,Vancouver,4.0,False
US-STATE,Washington,Bellevue,Bellevue,5.0,False
US-STATE,Washington,Olympia,Olympia,,True
US-STATE,West Virginia,Charleston,Charleston,1.0,True
US-STATE,West Virginia,Huntington,Huntington,2.0,False
US-STATE,West Virginia,Morgantown,Morgantown,3.0,False
US-STATE,West Virginia,Parkersburg,Parkersburg,4.0,False
US-STATE,West Virginia,Wheeling,Wheeling,5.0,False
US-STATE,Wisconsin,Milwaukee,Milwaukee,1.0,False
US-STATE,Wisconsin,Madison,Madison,2.0,True
US-STATE,Wisconsin,Green Bay,Green Bay,3.0,False
US-STATE,Wisconsin,Kenosha,Kenosha,4.0,False
US-STATE,Wisconsin,Racine,Racine,5.0,False
US-STATE,Wyoming,Cheyenne,Cheyenne,1.0,True
US-STATE,Wyoming,Casper,Casper,2.0,False
US-STATE,Wyoming,Gillette,Gillette,3.0,False
US-STATE,Wyoming,Laramie,Laramie,4.0,False
US-STATE,Wyoming,Rock Springs,Rock Springs,5.0,False
